model,q_over_M,a_over_M,branch,branch_label,A_Kerr,B_Kerr,Omega_Kerr_abs,lambda_Kerr,Omega_perturbed,lambda_perturbed
toy_rotating_residual_placeholder,0.0,0.3,-1,retrograde,0.0,-0.0,0.17320382251588734,0.19146238193966175,0.17320382251588734,0.19146238193966175
toy_rotating_residual_placeholder,0.004430379746835442,0.3,-1,retrograde,1.399495273193398e-06,-1.2238223041179293e-06,0.17320382251588734,0.19146238193966175,0.17320406491381826,0.19146214762372832
toy_rotating_residual_placeholder,0.008860759493670885,0.3,-1,retrograde,5.597981092773592e-06,-4.895289216471717e-06,0.17320382251588734,0.19146238193966175,0.17320479210761097,0.1914614446759281
toy_rotating_residual_placeholder,0.013291139240506327,0.3,-1,retrograde,1.2595457458740583e-05,-1.1014400737061365e-05,0.17320382251588734,0.19146238193966175,0.17320600409726555,0.191460273096261
toy_rotating_residual_placeholder,0.01772151898734177,0.3,-1,retrograde,2.2391924371094367e-05,-1.958115686588687e-05,0.17320382251588734,0.19146238193966175,0.1732077008827819,0.1914586328847271
toy_rotating_residual_placeholder,0.022151898734177212,0.3,-1,retrograde,3.498738182983495e-05,-3.059555760294824e-05,0.17320382251588734,0.19146238193966175,0.1732098824641601,0.19145652404132632
toy_rotating_residual_placeholder,0.026582278481012654,0.3,-1,retrograde,5.038182983496233e-05,-4.405760294824546e-05,0.17320382251588734,0.19146238193966175,0.1732125488414001,0.19145394656605874
toy_rotating_residual_placeholder,0.031012658227848097,0.3,-1,retrograde,6.857526838647651e-05,-5.996729290177854e-05,0.17320382251588734,0.19146238193966175,0.17321570001450193,0.1914509004589243
toy_rotating_residual_placeholder,0.03544303797468354,0.3,-1,retrograde,8.956769748437747e-05,-7.832462746354747e-05,0.17320382251588734,0.19146238193966175,0.1732193359834656,0.19144738571992304
toy_rotating_residual_placeholder,0.03987341772151898,0.3,-1,retrograde,0.00011335911712866523,-9.912960663355226e-05,0.17320382251588734,0.19146238193966175,0.17322345674829107,0.19144340234905496
toy_rotating_residual_placeholder,0.044303797468354424,0.3,-1,retrograde,0.0001399495273193398,-0.00012238223041179295,0.17320382251588734,0.19146238193966175,0.17322806230897833,0.19143895034632002
toy_rotating_residual_placeholder,0.04873417721518987,0.3,-1,retrograde,0.0001693389280564012,-0.00014808249879826946,0.17320382251588734,0.19146238193966175,0.17323315266552744,0.19143402971171825
toy_rotating_residual_placeholder,0.05316455696202531,0.3,-1,retrograde,0.00020152731933984933,-0.00017623041179298183,0.17320382251588734,0.19146238193966175,0.1732387278179384,0.19142864044524968
toy_rotating_residual_placeholder,0.05759493670886075,0.3,-1,retrograde,0.00023651470116968425,-0.00020682596939593004,0.17320382251588734,0.19146238193966175,0.1732447877662111,0.19142278254691422
toy_rotating_residual_placeholder,0.06202531645569619,0.3,-1,retrograde,0.00027430107354590603,-0.00023986917160711416,0.17320382251588734,0.19146238193966175,0.17325133251034572,0.19141645601671195
toy_rotating_residual_placeholder,0.06645569620253164,0.3,-1,retrograde,0.00031488643646851466,-0.00027536001842653416,0.17320382251588734,0.19146238193966175,0.17325836205034212,0.19140966085464287
toy_rotating_residual_placeholder,0.07088607594936708,0.3,-1,retrograde,0.0003582707899375099,-0.0003132985098541899,0.17320382251588734,0.19146238193966175,0.17326587638620028,0.1914023970607069
toy_rotating_residual_placeholder,0.07531645569620252,0.3,-1,retrograde,0.000404454133952892,-0.00035368464589008154,0.17320382251588734,0.19146238193966175,0.17327387551792034,0.19139466463490415
toy_rotating_residual_placeholder,0.07974683544303796,0.3,-1,retrograde,0.0004534364685146609,-0.00039651842653420905,0.17320382251588734,0.19146238193966175,0.1732823594455022,0.19138646357723454
toy_rotating_residual_placeholder,0.08417721518987341,0.3,-1,retrograde,0.0005052177936228167,-0.0004417998517865725,0.17320382251588734,0.19146238193966175,0.17329132816894588,0.1913777938876981
toy_rotating_residual_placeholder,0.08860759493670885,0.3,-1,retrograde,0.0005597981092773592,-0.0004895289216471718,0.17320382251588734,0.19146238193966175,0.17330078168825133,0.19136865556629482
toy_rotating_residual_placeholder,0.09303797468354429,0.3,-1,retrograde,0.0006171774154782886,-0.0005397056361160069,0.17320382251588734,0.19146238193966175,0.17331072000341868,0.19135904861302472
toy_rotating_residual_placeholder,0.09746835443037974,0.3,-1,retrograde,0.0006773557122256048,-0.0005923299951930778,0.17320382251588734,0.19146238193966175,0.1733211431144478,0.19134897302788778
toy_rotating_residual_placeholder,0.10189873417721518,0.3,-1,retrograde,0.0007403329995193077,-0.0006474019988783847,0.17320382251588734,0.19146238193966175,0.17333205102133872,0.191338428810884
toy_rotating_residual_placeholder,0.10632911392405062,0.3,-1,retrograde,0.0008061092773593973,-0.0007049216471719273,0.17320382251588734,0.19146238193966175,0.17334344372409152,0.1913274159620134
toy_rotating_residual_placeholder,0.11075949367088606,0.3,-1,retrograde,0.0008746845457458738,-0.0007648889400737058,0.17320382251588734,0.19146238193966175,0.1733553212227061,0.19131593448127593
toy_rotating_residual_placeholder,0.1151898734177215,0.3,-1,retrograde,0.000946058804678737,-0.0008273038775837201,0.17320382251588734,0.19146238193966175,0.1733676835171825,0.19130398436867166
toy_rotating_residual_placeholder,0.11962025316455695,0.3,-1,retrograde,0.0010202320541579874,-0.0008921664597019706,0.17320382251588734,0.19146238193966175,0.17338053060752073,0.19129156562420055
toy_rotating_residual_placeholder,0.12405063291139239,0.3,-1,retrograde,0.0010972042941836241,-0.0009594766864284566,0.17320382251588734,0.19146238193966175,0.1733938624937208,0.19127867824786257
toy_rotating_residual_placeholder,0.12848101265822784,0.3,-1,retrograde,0.001176975524755648,-0.0010292345577631787,0.17320382251588734,0.19146238193966175,0.17340767917578268,0.1912653222396578
toy_rotating_residual_placeholder,0.13291139240506328,0.3,-1,retrograde,0.0012595457458740586,-0.0011014400737061367,0.17320382251588734,0.19146238193966175,0.17342198065370637,0.19125149759958618
toy_rotating_residual_placeholder,0.13734177215189872,0.3,-1,retrograde,0.0013449149575388557,-0.0011760932342573301,0.17320382251588734,0.19146238193966175,0.17343676692749185,0.1912372043276477
toy_rotating_residual_placeholder,0.14177215189873416,0.3,-1,retrograde,0.0014330831597500395,-0.0012531940394167596,0.17320382251588734,0.19146238193966175,0.17345203799713918,0.19122244242384245
toy_rotating_residual_placeholder,0.1462025316455696,0.3,-1,retrograde,0.0015240503525076104,-0.001332742489184425,0.17320382251588734,0.19146238193966175,0.17346779386264835,0.1912072118881703
toy_rotating_residual_placeholder,0.15063291139240503,0.3,-1,retrograde,0.001617816535811568,-0.0014147385835603262,0.17320382251588734,0.19146238193966175,0.1734840345240193,0.19119151272063134
toy_rotating_residual_placeholder,0.15506329113924047,0.3,-1,retrograde,0.0017143817096619124,-0.001499182322544463,0.17320382251588734,0.19146238193966175,0.1735007599812521,0.19117534492122557
toy_rotating_residual_placeholder,0.1594936708860759,0.3,-1,retrograde,0.0018137458740586437,-0.0015860737061368362,0.17320382251588734,0.19146238193966175,0.1735179702343467,0.19115870848995292
toy_rotating_residual_placeholder,0.16392405063291138,0.3,-1,retrograde,0.0019159090290017623,-0.0016754127343374455,0.17320382251588734,0.19146238193966175,0.17353566528330314,0.19114160342681347
toy_rotating_residual_placeholder,0.16835443037974682,0.3,-1,retrograde,0.002020871174491267,-0.00176719940714629,0.17320382251588734,0.19146238193966175,0.17355384512812141,0.19112402973180717
toy_rotating_residual_placeholder,0.17278481012658226,0.3,-1,retrograde,0.0021286323105271583,-0.0018614337245633705,0.17320382251588734,0.19146238193966175,0.17357250976880148,0.19110598740493404
toy_rotating_residual_placeholder,0.1772151898734177,0.3,-1,retrograde,0.002239192437109437,-0.0019581156865886872,0.17320382251588734,0.19146238193966175,0.17359165920534336,0.19108747644619406
toy_rotating_residual_placeholder,0.18164556962025313,0.3,-1,retrograde,0.0023525515542381025,-0.0020572452932222395,0.17320382251588734,0.19146238193966175,0.1736112934377471,0.19106849685558727
toy_rotating_residual_placeholder,0.18607594936708857,0.3,-1,retrograde,0.0024687096619131544,-0.0021588225444640276,0.17320382251588734,0.19146238193966175,0.1736314124660126,0.19104904863311364
toy_rotating_residual_placeholder,0.190506329113924,0.3,-1,retrograde,0.0025876667601345926,-0.002262847440314051,0.17320382251588734,0.19146238193966175,0.17365201629013996,0.19102913177877318
toy_rotating_residual_placeholder,0.19493670886075948,0.3,-1,retrograde,0.0027094228489024192,-0.0023693199807723114,0.17320382251588734,0.19146238193966175,0.17367310491012913,0.19100874629256587
toy_rotating_residual_placeholder,0.19936708860759492,0.3,-1,retrograde,0.0028339779282166317,-0.002478240165838807,0.17320382251588734,0.19146238193966175,0.17369467832598012,0.19098789217449172
toy_rotating_residual_placeholder,0.20379746835443036,0.3,-1,retrograde,0.002961331998077231,-0.0025896079955135386,0.17320382251588734,0.19146238193966175,0.17371673653769293,0.19096656942455073
toy_rotating_residual_placeholder,0.2082278481012658,0.3,-1,retrograde,0.0030914850584842163,-0.002703423469796506,0.17320382251588734,0.19146238193966175,0.17373927954526755,0.19094477804274293
toy_rotating_residual_placeholder,0.21265822784810123,0.3,-1,retrograde,0.0032244371094375893,-0.0028196865886877093,0.17320382251588734,0.19146238193966175,0.17376230734870401,0.1909225180290683
toy_rotating_residual_placeholder,0.21708860759493667,0.3,-1,retrograde,0.0033601881509373486,-0.002938397352187148,0.17320382251588734,0.19146238193966175,0.17378581994800227,0.1908997893835268
toy_rotating_residual_placeholder,0.2215189873417721,0.3,-1,retrograde,0.003498738182983495,-0.003059555760294823,0.17320382251588734,0.19146238193966175,0.17380981734316236,0.1908765921061185
toy_rotating_residual_placeholder,0.22594936708860755,0.3,-1,retrograde,0.003640087205576028,-0.003183161813010734,0.17320382251588734,0.19146238193966175,0.17383429953418428,0.19085292619684335
toy_rotating_residual_placeholder,0.230379746835443,0.3,-1,retrograde,0.003784235218714948,-0.0033092155103348806,0.17320382251588734,0.19146238193966175,0.173859266521068,0.19082879165570135
toy_rotating_residual_placeholder,0.23481012658227846,0.3,-1,retrograde,0.003931182222400255,-0.003437716852267264,0.17320382251588734,0.19146238193966175,0.17388471830381355,0.19080418848269254
